channel,button,protocol,bits,hex_code,raw_timings
ch1,full,PanaLight_PDM,40,0x252C09522C,"3450,1750,450,400,450,400,450,1250,450,1300,450,400,450,1300,400,450,400,450,450,400,450,1250,450,400,450,450,400,1300,450,400,450,1300,400,450,450,1250,450,400,450,400,450,1300,450,400,450,400,450,400,450,400,450,450,400,450,450,1250,450,1300,400,450,450,1250,450,400,450,400,450,1300,450,400,450,1300,450,400,450,400,450,1250,450,400,450,450,400,0"
ch1,fav,PanaLight_PDM,40,0x242D09522C,"3450,1700,450,400,450,400,450,1300,450,1250,450,450,400,1300,450,400,450,400,450,400,450,1300,450,400,450,400,450,1300,400,450,450,1250,450,400,450,1300,450,400,450,400,450,1250,450,450,400,450,450,400,450,400,450,1250,450,400,450,1300,450,1250,450,450,400,1300,450,400,450,450,400,400,450,400,450,1300,450,400,450,400,450,1300,450,400,450,400,450,0"
ch1,night,PanaLight_PDM,40,0x272E09522C,"3500,1700,450,400,450,400,450,1300,400,1300,450,400,450,1300,450,400,450,400,450,400,450,1300,400,450,400,450,450,1250,450,400,450,1300,450,400,450,1250,450,450,400,450,450,1250,450,400,450,450,400,400,450,450,400,450,400,1300,450,1300,450,1250,450,400,450,1300,450,400,450,400,450,1250,450,1300,450,1300,400,450,400,450,450,1250,450,400,450,400,450,0"
ch1,up,PanaLight_PDM,40,0x232A09522C,"3450,1700,450,450,450,400,450,1250,450,1300,450,400,450,1250,450,400,450,450,400,450,400,1300,450,400,450,400,450,1300,450,400,450,1250,450,450,450,1250,450,400,450,400,450,1300,450,400,450,400,450,400,450,450,400,400,450,1300,450,400,450,1250,450,450,400,1300,450,400,450,400,450,1300,450,1250,450,400,450,400,450,450,400,1300,450,400,450,400,450,0"
ch1,down,PanaLight_PDM,40,0x222B09522C,"3500,1700,450,400,450,450,400,1300,450,1250,450,400,450,1300,450,400,450,400,450,450,400,1300,450,400,450,400,450,1250,450,400,450,1300,450,400,450,1300,400,450,450,400,450,1250,450,400,450,400,450,450,400,450,450,1250,450,1300,450,400,450,1250,450,400,450,1300,450,400,450,400,450,400,450,1300,450,400,450,400,450,400,450,1300,400,450,450,400,450,0"
ch1,off,PanaLight_PDM,40,0x262F09522C,"3450,1750,450,400,450,400,450,1250,450,1300,450,400,450,1250,450,450,400,450,450,400,450,1250,450,400,450,450,400,1300,450,400,450,1300,450,400,400,1350,400,400,450,400,450,1300,450,400,450,400,450,400,450,400,450,1300,450,1250,450,1300,450,1250,450,400,450,1300,450,400,450,400,450,450,400,1300,450,1250,450,400,450,400,450,1300,450,400,450,400,450,0"
ch2,full,PanaLight_PDM,40,0x3D3409522C,"3500,1700,450,400,450,400,450,1300,400,1300,450,400,450,1300,400,450,450,400,450,400,450,1300,400,450,400,450,450,1250,450,400,450,1300,450,400,450,1250,450,400,450,450,400,1350,400,400,450,400,450,400,450,400,450,450,450,400,450,1250,450,400,450,1300,450,1250,450,400,450,450,400,1300,450,400,450,1300,450,1250,450,1300,450,1250,450,400,450,400,450,0"
ch2,fav,PanaLight_PDM,40,0x3C3509522C,"3450,1700,450,450,400,450,450,1250,450,1300,450,400,450,1250,450,400,450,450,400,450,450,1300,400,400,450,400,450,1300,450,400,450,1250,450,450,400,1350,400,400,450,400,450,1300,450,400,450,400,450,400,450,450,400,1300,450,400,450,1250,450,400,450,1300,450,1250,450,450,400,450,450,400,450,400,450,1300,400,1300,450,1300,400,1300,450,400,450,400,450,0"
ch2,night,PanaLight_PDM,40,0x3F3609522C,"3500,1700,450,400,450,400,450,1300,400,1300,450,400,450,1250,450,450,400,450,450,400,450,1250,450,400,450,400,450,1300,450,400,450,1300,450,400,450,1300,400,400,450,450,400,1300,450,400,450,400,450,400,450,400,450,450,400,1300,450,1250,450,450,450,1250,450,1300,400,450,450,400,450,1250,450,1300,450,1250,450,1300,450,1250,450,1300,450,400,450,400,450,0"
ch2,up,PanaLight_PDM,40,0x3B3209522C,"3450,1700,450,450,450,400,450,1250,450,1300,450,400,450,1300,400,400,450,450,400,450,450,1250,450,400,450,400,450,1300,450,400,450,1250,450,450,400,1300,450,400,450,400,450,1300,450,400,450,400,450,400,450,450,400,450,400,1300,450,400,450,400,450,1300,400,1300,450,400,450,400,450,1300,450,1250,450,400,450,1300,450,1250,450,1300,450,400,450,400,450,0"
ch2,down,PanaLight_PDM,40,0x3A3309522C,"3500,1700,450,400,450,400,450,1300,400,1300,450,400,450,1300,400,450,450,400,450,400,450,1250,450,400,450,450,400,1300,450,400,450,1300,400,450,450,1250,450,400,450,400,450,1300,450,400,450,400,450,400,450,400,450,1300,450,1250,450,400,450,450,400,1300,450,1300,400,450,450,400,450,400,450,1250,450,450,400,1300,450,1300,400,1300,450,400,450,400,450,0"
ch2,off,PanaLight_PDM,40,0x3E3709522C,"3450,1700,450,450,450,400,450,1250,450,1300,450,400,450,1250,450,400,450,450,400,450,450,1250,450,400,450,400,450,1300,450,400,450,1250,450,450,400,1300,450,400,450,450,400,1300,450,400,450,400,450,400,450,450,400,1300,450,1250,450,1300,450,400,450,1250,450,1300,450,400,450,400,450,400,450,1300,400,1350,400,1300,450,1250,450,1300,450,400,450,400,450,0"
ch3,full,PanaLight_PDM,40,0x353C09522C,"3450,1700,450,400,450,400,450,1300,450,1250,450,450,400,1350,400,400,450,400,450,400,450,1300,450,400,450,400,450,1300,400,450,400,1300,450,400,450,1300,450,400,450,400,450,1250,450,450,400,450,450,400,450,400,450,400,450,400,450,1250,450,1300,450,1300,400,1300,450,400,450,400,450,1300,450,400,450,1250,450,400,450,1300,450,1250,450,450,400,450,450,0"
ch3,fav,PanaLight_PDM,40,0x343D09522C,"3500,1650,450,400,450,400,450,1300,450,1250,450,400,450,1300,450,400,450,400,450,400,450,1300,400,450,450,400,450,1250,450,400,450,1300,450,400,450,1300,450,400,450,400,450,1250,450,400,450,400,450,450,400,450,450,1250,450,400,450,1300,450,1250,450,1300,450,1250,450,400,450,450,450,400,400,450,450,1250,450,400,450,1300,450,1250,450,400,450,450,400,0"
ch3,night,PanaLight_PDM,40,0x373E09522C,"3450,1700,450,450,400,400,450,1300,450,1250,450,450,450,1250,450,400,450,400,450,450,400,1300,450,400,450,400,450,1300,400,450,450,1250,450,400,450,1300,450,400,450,400,450,1300,450,400,400,450,450,400,450,400,450,400,450,1300,400,1300,450,1300,400,1300,450,1300,450,400,450,400,450,1250,450,1300,450,1250,450,400,450,1300,450,1250,450,450,400,450,450,0"
ch3,up,PanaLight_PDM,40,0x333A09522C,"3450,1700,450,400,450,400,450,1300,450,1250,450,450,400,1300,450,400,450,400,450,400,450,1300,450,400,450,450,400,1300,400,450,450,1250,450,400,450,1300,450,400,450,400,450,1300,400,450,450,400,400,450,450,400,450,400,450,1250,450,450,400,1300,450,1300,450,1300,400,400,450,400,450,1300,450,1250,450,400,450,450,400,1300,450,1300,400,450,450,400,450,0"
ch3,down,PanaLight_PDM,40,0x323B09522C,"3450,1700,450,400,450,400,450,1300,450,1250,450,400,450,1300,450,400,450,400,450,400,450,1300,450,400,450,400,450,1250,450,400,450,1300,450,400,450,1300,450,400,450,400,450,1250,450,400,450,400,450,450,400,450,450,1250,450,1300,450,400,450,1250,450,1300,450,1250,450,400,450,450,400,450,450,1250,450,400,450,400,450,1300,450,1250,450,400,450,450,450,0"
ch3,off,PanaLight_PDM,40,0x363F09522C,"3450,1700,450,400,450,450,400,1300,450,1300,450,400,450,1250,450,400,450,400,450,450,400,1300,450,400,450,400,450,1300,450,400,450,1250,450,400,450,1300,450,400,450,450,400,1300,400,450,450,400,450,400,450,400,450,1300,400,1350,400,1300,450,1250,450,1300,450,1250,450,400,450,400,450,400,450,1300,450,1250,450,450,400,1300,450,1300,450,400,450,400,450,0"
